title,genres,overview
Fast Times at Ridgemont High,Comedy,"Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope."
John Apple Jack,"Romance, Comedy","A playboy learns to love, while a virgin learns to live -- a queer romantic comedy set inside the restaurant industry... 'John Apple Jack' brings East and West together to create one sumptuously heart-warming dish. When John discovers his sister's fiance is Jack, his childhood crush, passions ignite and his life spirals out of control... losing his job, his playboy reputation and his underwear, all while rushing to the altar to finally confess his love!"
The Covenant,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",Four young men who belong to a supernatural legacy are forced to battle a fifth power long thought to have died out. Another great force they must contend with is the jealousy and suspicion that threatens to tear them apart.
Lili Marleen,"War, Drama, Romance",Lili Marleen is the story of a German singer named Wilkie who while working in Switzerland falls in love with a Jewish composer named Robert who’s family is helping people to flee from the Nazis. Roberts family is skeptical of Walkie thinking she could be a Nazi as she becomes famous for singing Lili Marleen.
Nitro,Action,"Max leads a good life with Alice and their son Théo; that is until Alice is threatened with death while waiting for a heart transplant. Max promises Théo that he will save Alice, but to keep his word he must find a heart, and fast. Since time is running out and he must find a solution, Max decides to reconnect with his troubled past. His decision will change his life in ways he could never imagine"
They Came from Beyond Space,"Science Fiction, Horror",A group of scientists are possessed by a alien force when they investigate a meteor shower in a rural field.
Born Reckless,"Adventure, Crime","Racketeer Jim Barnes is trying to force the independent taxicab-drivers to join his ""protection service"" at the cost of five bucks a day. Champion race-car driver, Bob Kane, joins with his friends Lee and ""Dad"" Martin in a fight for the street rights of a big city."
Taken,"Action, Thriller","While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle."
Metal: A Headbanger's Journey,"Documentary, Music","The film discusses the traits and originators of some of metal's many subgenres, including the New Wave of British Heavy Metal, power metal, Nu metal, glam metal, thrash metal, black metal, and death metal. Dunn uses a family-tree-type flowchart to document some of the most popular metal subgenres. The film also explores various aspects of heavy metal culture."
All About My Wife,"Comedy, Romance, Foreign",A man asks a womanizer to seduce his wife in order to catalyze a divorce.
Twelfth Night,"Drama, Comedy, Romance","Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves."
Reunion,"Drama, War","Two young boys from very different backgrounds become friends in 1933 Stuttgart. However, they don't realize how different they are until much later as one is the son of a well-to-do Jewish doctor and the other the son of a German aristocrat. After that summer and the election of Hitler, things change as antisemitism gains fervor. After the core of the film deals with that era, the film flashes to the present and the Jewish man now returns to his boyhood home and seeks his old friend with some surprises."
Les papillons japonais,Unknown,"Two Japanese paint a silk worm on a screen. The insect comes alive and begins to spin its cocoon. He is soon trapped in his prison silk. The cocoon is now well in sight. He suddenly opens and a beautiful butterfly takes flight. After fluttered to the right and left, the beautiful insect lands and then begin a series of transformations."
Natimorto,Drama,"A talent agent summons a young singer to Sao Paulo in order to present her to a renowned maestro. While they wait for the day of the audition, they stay in a hotel room where, over cigarettes and coffee, the agent reads her future by using cigarette packs as if they were tarot cards. It is during this wait that his true intentions are revealed."
Scialla!,Comedy,Unknown
Holiday in Handcuffs,"TV Movie, Comedy, Romance, Family","A ne er-do-well thirty-something (Melissa Joan Hart) attempts to appease her family by kidnapping herself an attractive boyfriend (Mario Lopez) for the family Christmas. Despite unlikely odds and dysfunctional family moments, the two fall in love and share a magical Christmas."
World Builder,Unknown,"""World Builder"" is a short film by Bruce Branit (co-creator of ""405"") in which a man uses holographic tools to create a virtual world for a woman he loves. The filming was completed in a single day, but the post-production computer graphics required 2 years."
Popcorn,Horror,"A horror film festival, held in a theater which was once the scene of a tragic fire, turns into a real life horror show."
Legacy,"Drama, Thriller","Taking refuge in a shabby Brooklyn motel after narrowly surviving a failed mission in Eastern Europe, Black Ops soldier Malcolm Gray (Idris Elba) begins to disintegrate mentally as he broods over the legacy of his actions in this taut psychological thriller. Haunted by his demons while holed up in his room, Malcolm ponders the ascent of his brother (Eamonn Walker), an ambitious senator with designs on the presidency."
The Caiman,"Drama, Comedy",A skewering of Italian Prime Minister Silvio Berlusconi.
I Hate Mondays,Comedy,"Funny adeventures of few person including the unlucky Italian guest, in Warsaw, on Monday."
Area 51,"Horror, Thriller, Science Fiction","Three young conspiracy theorists attempt to uncover the mysteries of Area 51, the government's secret location rumored to have hosted encounters with alien beings. What they find at this hidden facility exposes unimaginable secrets."
In View,Unknown,Tormented by guilt over the death of her family Ruth comes to decide that by donating her organs she will placate her utter self-loathing.
Grand Hotel Excelsior,Comedy,"Taddeus is the manager of the Grand Hotel Excelsior. The Summer season begins in May and since then many odd persons frequent the hotel. There is Ilde Vivaldi, in love with Taddeus and the boxer Pericle Coccia who has an important match and falls in love with Maria. There is the Mago di Segrate trying to win world fame by levitating thirty meters high. And there is the waiter Egisto whose daughter is in a Swiss College believing her father is a man of importance."
Silent Venom,"Action, Adventure, Horror, Thriller","The only thing more terrifying than Snakes on a Plane is ""Snakes on a Submarine,"" and that's exactly what we get in this claustrophobic, sub-aquatic thriller starring Luke Perry. Lieutenant Commander O'Neill (Perry) was piloting a retired submarine to its final port when Admiral Wallace (Tom Berenger) diverted the crew for one last mission: rescue an imperiled army research team before they meet a watery death. In order to reach the researchers and their top secret cargo while avoiding detection by a hostile enemy fleet, Lieutenant Commander O'Neill orders his crew to ""run silent"" in the depths. That silence is soon broken, however, when the cargo proves to be two genetically altered leviathans. Now, far beneath the ocean floor, a new kind of predator emerges to prove just how vulnerable man truly is when there's nowhere left to run."
VIPs,Drama,A human look on the life of one of the biggest frauds in the world happened by important people in Brazil.
Elder Sister,"Drama, Romance","A drama about a life of two sisters - Nadya  and Lida, who both are dreaming about theater and actress career."
Punching Henry,Comedy,"Comedian Henry Phillips is lured to LA by a renowned TV producer who wants to bring his story of failure to the screen. But when a major network gets involved, Henry must decide whether he wants to make jokes for a living, or be the butt of them."
Two on a Guillotine,"Mystery, Horror","The daughter of a dead magician who accidentally killed his wife, her mother, while performing a guillotine trick must spend the night in his house in order to collect her inheritance. Is the house haunted or is it all magic?"
Les Misérables,History,"In 1935, American audiences were treated to two simultaneously released versions of Les Miserables, one made in Hollywood, the other in France. Much the same thing happened in 1952. While 20th Century-Fox's Les Miserables, starring Michael Rennie as beleagured ex-convict Jean Valjean, was making the rounds, a second version, lensed in Italy, was also showing up in selected theatres. Running a fast 112 minutes (hardly enough time to do full justice to the novel), U.S. release of the Italian adaptation starred Gino Servi as Valjean, whose ""new"" life as a man of position and respect is forever threatened by dogged detective Javert. Valentine Cortese costars as Cosette, Valjean's adopted daughter. English-language prints of the the Italian Les Miserables credit the direction to ""Robert Hampton""; in fact, direction was handled by prominent European filmmaker Riccardo Freda."
Stripes,"Action, Comedy","John Winger, an indolent sad sack in his 30s, impulsively joins the U.S. Army after losing his job, his girlfriend and his apartment."
Couples Retreat,"Comedy, Romance","Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face."
Tron,"Science Fiction, Action, Adventure","As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP."
Prime,"Comedy, Drama, Romance","A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst."
Traitors,Drama,"Set in Tangier, Traitors tells the story of Maika, a calm, conservative girl by day and a leader of an all-girl punk group by night."
That Guy... Who Was in That Thing,Unknown,"Documentary about sixteen actors who detail their ups and downs as they struggle to forge careers in Hollywood. They've played cops, lawyers, bosses, best friends, psychopaths, politicians and everything in between. Now you'll know who they are."
Phantasm II,"Action, Horror, Science Fiction, Thriller","Mike, after his release from a psychiatric hospital, teams up with his old pal Reggie to hunt down the Tall Man, who is at it again. A mysterious, beautiful girl has also become part of Mike's dreams, and they must find her before the Tall Man does."
Sweet Home,Horror,"A TV production crew are making a documentary about the infamous painter Mamiya Ichiro. When they start filming at his old home, they come under attack from the ghost of the painter's wife."
Cure for Pain: The Mark Sandman Story,"Documentary, Music","Gatling Pictures' ""Cure for Pain: The Mark Sandman Story"" examines the life and work of Mark Sandman, deceased frontman of Boston ""low rock"" band Morphine. From his Newton, Mass., roots to his travels across America and around the globe, Sandman left an indelible imprint as one of the most distinctive musicians of his generation. Along with revisiting the ""unique and sultry sound"" of his music, the film explores the meaning of family through this critically praised and personally conflicted singer, songwriter and innovative instrumentalist."
Windwalker,"Adventure, Drama, Western",An ancient Indian warrior who has reached the end of his life is brought back from his 'death' to save his family from a raiding party of enemy Indians in this unique story of 'Indians without a single cowboy.
Poto and Cabengo,Documentary,Documentary by Jean-Pierre Gorin about twin girls who spontaneously developed their own unique language as children.
Finale,Unknown,Love story set during the world cup 2006
Video Girl,Drama,"Lorie Walker ( Meagan Good), attends a ritzy private school in a small southern town. Raised by her grandmother Valerie ( Ruby Dee), she often daydreams of becoming a professional dancer. After a chance meeting with a renowned music video director, her lifestyle changes completely. She finds herself struggling to stay grounded in this new, provocative, glamorous world."
The Green Years,Drama,"Julio, aged nineteen, has just left the provinces to settle down in the outskirts of Lisbon. He lives there in a poor area with his uncle Raul and starts working as an apprentice shoemaker. At the shop, he gets to know Ilda, a young housemaid and regular customer. Ilda is pretty, joyful and modern and Julio falls for her."
Jimmy Carr: Making People Laugh,Comedy,"Jimmy Carr is the hardest working comedian in Britain. He has now played to over one million people on tour and sold over a million DVDs. He returns with the release of his most outrageous stand up set to date, Making People Laugh, featuring over two hours of material that’s too rude for TV. The new DVD shows Jimmy at his very best and contains over 250 jokes. Here’s a small selection: “The first guy who persuaded a blind person they needed sunglasses, he must have been a hell of a salesman.” “Liverpool is the only city in Great Britain where JD Sports, has an evening wear department.” “A great way to warm up pensioners in winter.. is cremation.” “My girlfriend recently had a phantom pregnancy. And now we have a little baby ghost.”"
Dirt! The Movie,Documentary,"A look at man's relationship with Dirt. Dirt has given us food, shelter, fuel, medicine, ceramics, flowers, cosmetics and color --everything needed for our survival. For most of the last ten thousand years we humans understood our intimate bond with dirt and the rest of nature. We took care of the soils that took care of us. But, over time, we lost that connection. We turned dirt into something ""dirty."" In doing so, we transform the skin of the earth into a hellish and dangerous landscape for all life on earth. A millennial shift in consciousness about the environment offers a beacon of hope - and practical solutions."
Aanandam,"Adventure, Comedy, Romance",Aanandam is a 2016 Indian Malayalam campus musical film written and directed by Ganesh Raj in his directorial debut. Vineeth Sreenivasan produces the film under the banner of Habit Of Life with Vinod Shornur under Cast N Crew.
Permanent Midnight,"Drama, Romance","Ben Stiller plays comedy writer Jerry Stahl, whose $6000-a-week heroin habit had him taking his infant daughter along on his drug runs and doing smack during TV script conferences. Departing detox, Stahl explores memories with survivor Kitty, who listens patiently to Stahl's flashback. Other women in Stahl's life are his British wife Sandra and his agent Vola."
11 Minutes Ago,"Drama, Science Fiction, Romance","Traveling in 11-minute increments, a time-tumbler from 48-years in the future spends two years of his life weaving through a two-hour wedding reception."
Red's Dream,Animation,"Life as the sole sale item in the clearance corner of Eben's Bikes can get lonely. So Red, a unicycle, dreams up a clown owner and his own juggling act that steals the show. But all too soon, the applause turns into the sound of rainfall, as reality rushes back. Red must resign himself to sitting in the corner and await his fate."
Arguing the World,Unknown,"A true story of four Jewish intellectuals born in New York and educated at City College during the 1930s, and their divergent paths over the next six decades."
Cube,"Thriller, Science Fiction, Mystery",Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.
Carlito's Way: Rise to Power,"Action, Adventure, Drama, Thriller","Jay Hernandez (Friday Night Lights), Mario Van Peebles (Ali), Luis Guzmán (Carlito's Way) and Sean Combs (Monster's Ball) star in the gripping tale of the early years of gangster legend Carlito Brigante. Seduced by the power of the brutal New York underworld, he enters a deadly circle of greed and retribution. Assisted by his two brothers-in-crime, Carlito is on the fast track to becoming Spanish Harlem's ultimate kingpin. He quickly learns, however, that the only way to survive at the top is through loyalty to his friends and respect for the rules of the street. (FILMAFFINITY)"
Roots,"History, Drama","An adaptation of Alex Haley's ""Roots"", chronicling the history of an African slave sold to America and his descendants."
The Last of the Unjust,Documentary,"A place: Theresienstadt. A unique place of propaganda which Adolf Eichmann called the ""model ghetto"", designed to mislead the world and Jewish people regarding its real nature, to be the last step before the gas chamber. A man: Benjamin Murmelstein, last president of the Theresienstadt Jewish Council, a fallen hero condemned to exile, who was forced to negotiate day after day from 1938 until the end of the war with Eichmann, to whose trial Murmelstein wasn't even called to testify. Even though he was without a doubt the one who knew the Nazi executioner best. More than twenty-five years after Shoah, Claude Lanzmann's new film reveals a little-known yet fundamental aspect of the Holocaust, and sheds light on the origins of the ""Final Solution"" like never before."
"Bianco, rosso e Verdone",Comedy,"Three Italian have to move from their current city to vote to local elections elsewhere. Pasquale is an Italian emigrant living in Munich (Germany). He has to vote in Matera, Basilicata (south of Italy). He is genuinely happy to come back in Italy, even if just for some days; but the country he is dreaming is different from the reality he meets. Furio move from Torino to Roma with all his family. He is so niggler and heavy that Magda, his wife, is thinking to escape. Mimmo is a young good fellow, moving with his grand mother, from Verona to Roma. His trip is disturbed by worries about her health, while she is very calm. Written by 1felco"
Thirty Seconds Over Tokyo,"History, War, Drama","In the wake of Pearl Harbor, a young lieutenant leaves his expectant wife to volunteer for a secret bombing mission which will take the war to the Japanese homeland."
The Salad Mixxxer,Comedy,"In a 1960s-era informercial for an electric vibrating salad tossing device that, unbeknownst to the host, might have a dual purpose."
Kissing a Fool,"Comedy, Romance","Max (David Schwimmer), an alpha-male commitment-phobic sports broadcaster, and Jay (Jason Lee), a neurotic novelist, have been best friends since childhood. Jay sets Max up with his editor Samantha (Mili Avital). Although they share few interests, they are engaged within two weeks. Still, when Max is confronted with the fact that Sam will be the last woman he will sleep with, he proposes a test. Jay will hit on Sam. If she shows no interest, then Max will be confident enough in her loyalty to go ahead with the marriage. Though when Jay hits on Sam, they end up falling in love with each other."
The Bakery Girl of Monceau,Romance,"Early new wave effort from Rohmer which was the first of his six moral tales. It concerns a young man who approaches a girl in the street, but after several days without seeing her again, he becomes involved with the girl in the local bakery. Eventually he has to choose between them when he arranges dates with them on the same day."
Favor,Thriller,"Kip's perfect life is put in jeopardy when the waitress with whom he's having a casual fling is accidentally killed in their motel room. Desperate, he turns to childhood friend and loser, Marvin, to help get rid of the body. Marvin agrees which begins the unraveling of their friendship and ultimately leads both to murderous acts they never thought themselves capable of."
Puberty Blues,"Drama, Comedy","The mating rituals of two teenage surf chicks from the southern suburbs of Sydney.Meet Sue, a teenage Australian girl in the late 70s, whose life mainly consists of doing what everyone else does - watch the surfing boys and have sex with the same surfing boys. The girls have to follow lots of strange customs, e.g. do not eat or go to the bathroom when a boy is around. Ugly girls have two choices - being bitches and hate boys, or being generally cheap and looked down upon by everyone. The afternoons are spent on the beaches, in the backseats of car or at home-alone-parties where sex and alcohol are the main ingredients. Parents and teachers are trying to straighten the kids out, but that is not easy."
Big Muddy,"Crime, Western","Martha Barlow, a modern day outlaw, must reconcile her dark past after her teenage son commits a horrible crime."
Gasoline,Crime,"Fiery, dark-haired Stella, an intense auto mechanic, and nervous, blonde Eleonora are young and in love. They operate a gas station peacefully, until Eleonora's mother appears and voices her disapproval of their romance."
The Christian Revolt,"Drama, History, War","In the year 1637 in Shimabara of Tokugawa-era Japan, oppressed peasant Christians revolt against the shogunate with the aid of a charismatic Christian rebel leader Shiro Amakusa."
The Answers,"Fantasy, Romance","Immediately after his death, the victim of a car crash gets answers to every question he's ever had about his life, including the most import one of all - what did it all mean?"
The Tunnel of Love,"Comedy, Romance","The Pooles are unable to have a baby after years of trying. They apply to the Rock-A-Bye Adoption Agency, and are assigned Miss Novick as an investigator. Through a farfetched mis-communication she gets a very bad impression of Augie Poole and indicates her report will be unfavorable. Through even more far-fetched circumstances, Augie is able to change Miss Novick's mind, and later comes to believe the baby she is carrying is his. Rock-A-Bye does find the Pooles a baby, and Augie is convinced it is Miss Novick's, and that he is the real father...so much so that his wife comes to believe it, too. She threatens to leave him, but all the misunderstandings are finally cleared up for a happy ending."
The Honeymoon Killers,"Crime, Drama, Thriller","Based on the true story of Raymond Fernandez and Martha Beck, who met through a lonely-hearts correspondence club, Ray is weedy, feral, and untrustworthy; Martha is enormous, compulsive, and needy. Together, they play out a horrifying scheme in which he lures lonely women out on dates and proposes marriage to them, with she pretending to be his sister. They take the women's savings and then murder them remorselessly. Dank, claustrophobic, and weirdly engrossing, this movie never quite gives in to the comforts of conventional narrative. Francois Truffaut named it as his favorite American film."
Geronimo,Drama,"South of France. In the sultry August heat, Geronimo, a young social educator, tries to ease tensions between the youngsters of the St Pierre neighborhood. The mood changes when Nil Terzi, a teenage girl of Turkish origin, flees an arranged marriage, running to the arms of her gypsy lover, Lucky Molina. Their escape sparks hostilities between the two clans. When the jousting and the musical battles begin, Geronimo struggles to quell the ensuing unrest around her."
The Terror,"Horror, Thriller","Lieutenant Andre Duvalier has been accidentally separated from his regiment. He is wandering near the coast when he sees a young woman. He asks the road to Coldon, where he hopes to rejoin his regiment. But the woman doesn't answer, doesn't even greet him and walks away. Eventually she takes him to the sea, where she disappears in rough water. How can he save the mysterious girl?"
Complete Unknown,"Drama, Mystery, Thriller","Tom’s birthday dinner party is turned upside down by the unexpected arrival of Alice, an old flame who changed her identity and vanished without a trace 15 years prior."
Certified Copy,"Drama, Romance","In Tuscany to promote his latest book, a middle-aged English writer meets a French woman who leads him to the village of Lucignano."
The Mission,"Adventure, Drama, Action, History","Jeremy Irons plays a Spanish Jesuit who goes into the South American wilderness to build a mission in the hope of converting the Indians of the region. Robert DeNiro plays a slave hunter who is converted and joins Irons in his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portugese aggressors."
The Business of Strangers,"Drama, Thriller","Julie Styron thinks she is going to be fired, but instead discovers that she is being promoted. Trapped in an airport hotel, she wants to celebrate but finds only the company of her young assistant, Paula Murphy. As the night progresses, the two women get to know each other. They flirt, they drink, they lie; personal flaws are revealed and exposed. But at the end of the night their relationship turns and becomes a complex battle of power, authority, and wit."
Kiss or Kill,"Crime, Drama","Two lovers, Nikki and Al, have a scam in which Nikki allows herself to be picked up by older men, drugs them, and, with Al's help, robs them. After accidentally killing one of her victims with an overdose, Nikki and Al are on the run."
La Belle Noiseuse,Drama,"The former famous painter Frenhofer lives quietly with his wife on his countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model. The now starting creative process changes life for everyone. It is a struggle for truth, life and sense, and the question where the limits of arts are or whether art is limitless."
10%: What Makes a Hero?,"Adventure, Documentary","Award-winning director Yoav Shamir (Defamation, Checkpoint) sets out on an entertaining and insightful international quest, exploring the notion of heroism through a multi-faceted lens. From ordinary heroes to freedom fighters, primates to humans, behavioral scientists to geneticists, even Ayn Rand to Raelians, Shamir leaves no stone unturned, and along the way unveils the fundamental truths of human nature."
Paradise: Love,Drama,"On the beaches of Kenya they're known as ""Sugar Mamas"" -- European women who seek out African boys selling love to earn a living. Teresa, a 50-year-old Austrian and mother of a daughter entering puberty, travels to this vacation paradise. She goes from one Beach Boy to the next, from one disappointment to the next and finally she must recognize: On the beaches of Kenya love is a business."
The Hunchedback Horse,"Adventure, Family, Fantasy",Adventures of Ivan the Fool and humpbacked horse in the world of kind magical creatures and cruel people.
Champs de Mars,Unknown,"Shows all the prominent buildings on this thoroughfare, ending with a close view of the base of the Eiffel Tower, with the Trocadero Palace in the background."
Black Tights,Unknown,"Live scenes of Paris and a continuity Narrator link together four dramatic choreographies, all by Roland Petit: Carmen (1949), La croqueuse de diamants (1950), Deuil en 24 heures (1953), and Cyrano de Bergerac (1959)."
Joan of Arc,"Drama, History","Ten years before her death, Joan hears voices. Six years later, from the village of Domremy, she begins her mission to unite France under King Charles. First she leads a defense of Vaucouleurs against the Burgundians, then obtains safe passage to Charles, the Dauphin. He uses her, as the embodiment of the mythical ""Maid of Lorraine,"" to raise an army, and he sends her to the rescue of Orléans. After Charles is crowned, Joan leads a disastrous campaign in Paris, where her brother dies. Then she's the victim of Charles's manipulations: she's captured in Burgundy, sold to the English, examined by Bishop Cauchon, found a heretic by the Inquisition, and burned at the stake."
Land of Silence and Darkness,"Documentary, Foreign","Through examining Fini Straubinger, an old woman who has been deaf and blind since her teens, and her work on behalf of other deaf-blind people, this film shows how the deaf-blind struggle to understand and accept a world from which they are almost wholly isolated."
Of Snails and Men,Unknown,One worker in a bankrupt factory finds an unusual solution to save his co-workers from unemployment. If it doesn't work the factory will be privatized and sold to a French company planning to convert the plant into a snail cannery. Only 300 of the 3000 workers will keep their jobs.
Porno Holocaust,Horror,"A group of castaways wash ashore on a deserted island in this Italian sex/gore movie. They are unaware that a sex-crazed radioactive monster is also on the island. He attacks and rapes several of the women, who die horrible deaths because his sperm is radioactive. The survivors must find a way to either escape the island or kill the monster."
Hunger Point,Drama,"Meet the Hunters your typical all-American family: two committed parents and two lovely daughters. However, looks can be deceiving because this family is plagued by the nit-picking comments of an overzealous mother determined to keep her daughters thin. The results of this mother's tyranny is unimaginable. This movie really captures the dangers of eating disorders like no other. Based on the best-selling book of the same name."
22 Minutes,"Crime, Action",22 minutes got Russian marine to free a hijacked oil tanker far from shore.
Never Cry Wolf,"Action, Adventure, Drama","This film dramatizes the true story of Farley Mowat, when he was sent to the Canadian tundra area to collect evidence of the grievous harm the wolf population was allegedly doing to the caribou herds. In his struggle to survive in that difficult environment he studies the wolves, and realizes that the old beliefs about wolves and their supposed threat are almost totally false. Furthermore, he learns that humans represent a far greater threat to the land, and also to the wolves, a species which plays an important role in the ecosystem of the north."
The Old Man and the Sea,"Animation, Drama","The Old Man and the Sea (Russian: Старик и море) is a 1999 paint-on-glass-animated short film directed by Aleksandr Petrov, based on the novel of the same name by Ernest Hemingway. The film won many awards, including the Academy Award for Animated Short Film. Work on the film took place in Montreal over a period of two and a half years and was funded by an assortment of Canadian, Russian and Japanese companies. French and English-language soundtracks to the film were released concurrently. It was the first animated film to be released in IMAX. Oscar winning animation of the classic Hemingway story."
The Private Affairs of Bel Ami,Drama,A self-serving journalist (George Sanders) uses influential women in late-1800s Paris and denies the one (Angela Lansbury) who truly loves him.
Zatôichi and the Chess Expert,"Action, Adventure, Drama","Zatoichi makes friends with a dangerous chess player, while fending off angry yakuza and bloodthirsty relatives out for revenge, and trying to save a sick child. Meanwhile, his luck with dice is turning."
Lava,"Animation, Family","The story follows the love story of two volcanoes, Uku and Lele. It features a song, ""Lava"", which is written by Murphy and performed by Kuana Torres Kahele and Napua Greig, who voice the two volcanoes."
Wieners,Comedy,A road trip comedy about three friends who travel across the country in a Wiener Wagon to beat up a popular daytime talk show therapist.
Off the Charts: The Song-Poem Story,Documentary,"Like a warped fun-house mirror, the song-poem industry has run parallel to the mainstream music business for close to a century; it's estimated that over 200,000 song-poems have been recorded since 1900. The genre's durability can be traced to three of our deepest American desires - to be in show business, to get rich quick, and to share and express our deepest feelings. We meet several of the ""songwriters"" - from an elderly woman to a young African-American man to a small-town Iowan with big-time dreams - each of whom has been in the ""business"" for awhile, churning out odd compositions that cover the waterfront of American obsessions, from Jesus to genitalia, from politics to Elvis. We also meet the producers (often known as song-sharks) who hold out the tantalizing promise of fame to their eager customers, and the has-been musicians who sit in studios, day after day and year after year..."
Bride for Rent,"Romance, Comedy","On the eve of his 25th birthday, the day he’s set to receive money from his trust fund, Rocco (Xian Lim) parties, gets drunk and loses all his money on a poker match. His dilemma: He has to produce the amount, otherwise he will lose the client he needs to defeat his father’s TV commercial production company.  Meanwhile, Rocky (Kim Chiu) also needs money to pay the rent, otherwise her family will be homeless.  There’s only one way for Rocco to be able to get money from his trust fund: Fulfill the conditions set by his grandmother and that is to get married.  Rocky agrees to act as Rocco’s pseudo wife in exchange for a “talent fee.” They seal the deal.  As they live like a married couple, Rocco and Rocky face one problem after another, forcing them with no alternative but to reconcile their differences and work with each other. Complication arises when they start to feel for each other, with their bond getting closer."
Sunset Edge,Unknown,"Two narratives clash violently in this meditative portrayal of disaffected youth set in a graveyard of abandoned mobile homes known as Sunset Edge. We follow a group of four aimless, suburban teenagers - they skateboard the park, sleep in the sun, and rummage through the decaying remains completely unaware that this is where a lonesome teen is confronting a horrific past. Day turns to night, people disappear, and the secrets of Sunset Edge are revealed in a paralyzing finale."
Down the Hudson,Documentary,"Film taken from a boat heading down the Hudson is shown at varying speeds, often giving a sense of rapid transit."
Stonehearst Asylum,Thriller,"A Harvard Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change."
Assigned to Danger,"Crime, Drama",A gang of bank robbers is pursued by an insurance investigator.
Picture This,Comedy,"Bookish and unpopular Mandy finds her luck finally changing when Drew, the school hottie, invites her to the year's biggest party. But with being grounded and Drew's ex-girlfriend bent on thwarting her, Mandy may be destined to remain a geek. Can a little ingenuity and some help from her friends save the day?"
Woman in Love,Comedy,"An actor's career takes a ""Tootsie""-like turn when he lets himself be cast as a woman in a movie."
Blues Brothers 2000,"Music, Action, Comedy, Crime","Elwood, the now lone ""Blues Brother"" finally released from prison, is once again enlisted by Sister Mary Stigmata in her latest crusade to raise funds for a children's hospital. Once again hitting the road to re-unite the band and win the big prize at the New Orleans Battle of the Bands, Elwood is pursued cross-country by the cops, led by Cabel the Curtis' son"
Unhook the Stars,"Drama, Romance","Widowed mother Mildred must suddenly redefine herself and find an outlet for her nurturing side when her adult daughter moves out of the family home. Though Mildred thinks she's found her purpose when her neighbor, overworked single mother Monica, asks her to look after her little boy, she has great difficulty learning to strike a healthy balance between giving selflessly to others and remembering to take care of herself."
The Reef,"Drama, Horror, Thriller",A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.
Mary and Martha,Drama,"Wealthy American housewife Mary Morgan takes her bullied son George out of school for home education,including a trip to Southern Africa. Whilst in Mozambique George is bitten by a mosquito which crawls through a hole in his net and dies of malaria. After his funeral at home Mary feels a compulsion to return to Africa where she meets English woman Martha O'Connell,whose 24 year old son Ben, a teacher with voluntary service overseas,has also died of malaria. Ben gave his net to one of his pupils,believing adults cannot catch malaria. The two women are shocked to see the high death rate caused by the disease and,whilst Martha stays in Africa as a voluntary helper,Mary petitions the American government to change things. Martha turns up at Mary's house unannounced and,helped by Mary's ex-diplomat father,they address a senate committee on health spending,persuading them to do more to combat malaria. They meet with some success though a coda states that much more can be done."
Barbie in A Mermaid Tale,"Animation, Family, Fantasy","Barbie stars as Merliah, a surfing champion from Malibu. One minute she’s a normal teenager and the next she learns a shocking family secret: she’s a mermaid! Merliah and her dolphin friend Zuma set off on an undersea adventure to rescue her mother, the queen of Oceana. With help from her new mermaid friends, Merliah saves the ocean kingdom."
The Duel,"Western, Drama",A Texas Ranger investigates a series of unexplained deaths in a town called Helena.
The Rawhide Years,Western,"Ben Matthews gives up the flashy life of a riverboat gambler, hoping to settle down in Galena with his girlfriend, luscious entertainer Zoe. But Galena's leading citizen is murdered on the boat; Ben, on arrival, finds a lynch mob after his neck, and flees. Three years of wandering later, Zoe's letters stop coming and Ben returns to find her and attempt the hopeless task of clearing himself."
Loucas pra Casar,Comedy,"After Malu grows suspicious of her boyfriend Samuel she hires a private investigator, only to discover she is not the only one in his life."
